ID,Name,Category,Subcategory,Purpose,Path
1,advanced_algebra_19,math,algebra,Advanced algebra operation 19,math/algebra/advanced_algebra_19.md
2,advanced_algebra_2,math,algebra,Advanced algebra operation 2,math/algebra/advanced_algebra_2.md
3,advanced_algebra_48,math,algebra,Advanced algebra operation 48,math/algebra/advanced_algebra_48.md
4,advanced_algebra_222,math,algebra,Advanced algebra operation 222,math/algebra/advanced_algebra_222.md
5,advanced_algebra_111,math,algebra,Advanced algebra operation 111,math/algebra/advanced_algebra_111.md
6,advanced_algebra_140,math,algebra,Advanced algebra operation 140,math/algebra/advanced_algebra_140.md
7,advanced_algebra_247,math,algebra,Advanced algebra operation 247,math/algebra/advanced_algebra_247.md
8,advanced_algebra_216,math,algebra,Advanced algebra operation 216,math/algebra/advanced_algebra_216.md
9,advanced_algebra_187,math,algebra,Advanced algebra operation 187,math/algebra/advanced_algebra_187.md
10,advanced_algebra_174,math,algebra,Advanced algebra operation 174,math/algebra/advanced_algebra_174.md
11,advanced_algebra_125,math,algebra,Advanced algebra operation 125,math/algebra/advanced_algebra_125.md
12,advanced_algebra_135,math,algebra,Advanced algebra operation 135,math/algebra/advanced_algebra_135.md
13,advanced_algebra_164,math,algebra,Advanced algebra operation 164,math/algebra/advanced_algebra_164.md
14,advanced_algebra_197,math,algebra,Advanced algebra operation 197,math/algebra/advanced_algebra_197.md
15,advanced_algebra_206,math,algebra,Advanced algebra operation 206,math/algebra/advanced_algebra_206.md
16,gaussian_elimination,math,algebra,Solves linear systems using Gaussian elimination,math/algebra/gaussian_elimination.md
17,advanced_algebra_150,math,algebra,Advanced algebra operation 150,math/algebra/advanced_algebra_150.md
18,advanced_algebra_101,math,algebra,Advanced algebra operation 101,math/algebra/advanced_algebra_101.md
19,solve_rational_equation,math,algebra,Solves rational equations,math/algebra/solve_rational_equation.md
20,advanced_algebra_232,math,algebra,Advanced algebra operation 232,math/algebra/advanced_algebra_232.md
21,gcd_polynomials,math,algebra,Greatest common divisor of polynomials,math/algebra/gcd_polynomials.md
22,advanced_algebra_58,math,algebra,Advanced algebra operation 58,math/algebra/advanced_algebra_58.md
23,subtract_polynomials,math,algebra,Subtracts polynomials,math/algebra/subtract_polynomials.md
24,advanced_algebra_29,math,algebra,Advanced algebra operation 29,math/algebra/advanced_algebra_29.md
25,rational_function,math,algebra,Evaluates rational function,math/algebra/rational_function.md
26,advanced_algebra_78,math,algebra,Advanced algebra operation 78,math/algebra/advanced_algebra_78.md
