Name,Category,Purpose,Input_JSON,Output_JSON
solve_linear_equation,math/algebra,Solves linear equations of the form ax + b = 0,"{""a"": ""number (coefficient)"", ""b"": ""number (constant)""}","{""x"": ""number (solution)"", ""steps"": ""array (solution steps)""}"
solve_quadratic_equation,math/algebra,Solves quadratic equations using the quadratic formula,"{""a"": ""number"", ""b"": ""number"", ""c"": ""number""}","{""roots"": ""array [x1, x2]"", ""discriminant"": ""number""}"
solve_cubic_equation,math/algebra,Solves cubic equations using Cardano's formula,"{""a"": ""number"", ""b"": ""number"", ""c"": ""number"", ""d"": ""number""}","{""roots"": ""array [x1, x2, x3]"", ""type"": ""string""}"
factor_polynomial,math/algebra,Factors polynomial expressions into simpler terms,"{""coefficients"": ""array"", ""degree"": ""integer""}","{""factors"": ""array"", ""remainder"": ""number""}"
expand_polynomial,math/algebra,Expands polynomial expressions,"{""expression"": ""string""}","{""expanded"": ""string"", ""coefficients"": ""array""}"
derivative,math/calculus,Computes the derivative of a function,"{""function"": ""string or callable"", ""x"": ""number"", ""method"": ""string""}","{""derivative"": ""number or function"", ""formula"": ""string""}"
integral,math/calculus,Computes indefinite or definite integral,"{""function"": ""string or callable"", ""variable"": ""string"", ""limits"": ""optional array [a, b]""}","{""result"": ""number or expression"", ""constant"": ""string""}"
limit,math/calculus,Computes the limit of a function at a point,"{""function"": ""string or callable"", ""x"": ""number"", ""approaching"": ""number or 'infinity'""}","{""limit"": ""number"", ""exists"": ""boolean""}"
distance_2d,math/geometry,Calculates distance between two points in 2D space,"{""point1"": ""object {x, y}"", ""point2"": ""object {x, y}""}","{""distance"": ""number""}"
triangle_area,math/geometry,Calculates the area of a triangle,"{""base"": ""number"", ""height"": ""number"", ""method"": ""string (base-height, heron, coordinates)""}","{""area"": ""number""}"
circle_area,math/geometry,Calculates the area of a circle,"{""radius"": ""number""}","{""area"": ""number"", ""circumference"": ""number""}"
sin,math/trigonometry,Calculates sine of an angle,"{""angle"": ""number"", ""unit"": ""string (radians or degrees)""}","{""result"": ""number (-1 to 1)""}"
cos,math/trigonometry,Calculates cosine of an angle,"{""angle"": ""number"", ""unit"": ""string (radians or degrees)""}","{""result"": ""number (-1 to 1)""}"
mean,math/statistics,Calculates arithmetic mean (average) of a dataset,"{""data"": ""array of numbers""}","{""mean"": ""number"", ""count"": ""integer""}"
median,math/statistics,Calculates median (middle value) of a dataset,"{""data"": ""array of numbers""}","{""median"": ""number""}"
standard_deviation,math/statistics,Calculates standard deviation of a dataset,"{""data"": ""array of numbers"", ""sample"": ""boolean (default true)""}","{""stdDev"": ""number"", ""variance"": ""number""}"
combination,math/probability,Calculates number of combinations (n choose k),"{""n"": ""integer"", ""k"": ""integer""}","{""result"": ""integer""}"
permutation,math/probability,Calculates number of permutations,"{""n"": ""integer"", ""k"": ""integer""}","{""result"": ""integer""}"
calculate_force,science/physics,Calculates force using Newton's second law F=ma,"{""mass"": ""number (kg)"", ""acceleration"": ""number (m/s\u00b2)""}","{""force"": ""number (Newtons)"", ""units"": ""string""}"
kinetic_energy,science/physics,Calculates kinetic energy KE = ½mv²,"{""mass"": ""number (kg)"", ""velocity"": ""number (m/s)""}","{""energy"": ""number (Joules)""}"
gravitational_force,science/physics,Calculates gravitational force between two masses,"{""mass1"": ""number (kg)"", ""mass2"": ""number (kg)"", ""distance"": ""number (m)""}","{""force"": ""number (N)"", ""acceleration"": ""number (m/s\u00b2)""}"
molar_mass,science/chemistry,Calculates molar mass from molecular formula,"{""formula"": ""string (e.g., H2O, CH4)""}","{""molarMass"": ""number (g/mol)"", ""elements"": ""object""}"
ideal_gas_law,science/chemistry,Applies ideal gas law PV=nRT to solve for unknowns,"{""P"": ""number (atm)"", ""V"": ""number (L)"", ""n"": ""number (mol)"", ""T"": ""number (K)"", ""solve_for"": ""string""}","{""result"": ""number"", ""units"": ""string""}"
ph_calculation,science/chemistry,Calculates pH from hydrogen ion concentration,"{""H_concentration"": ""number (mol/L)"", ""pOH"": ""optional number""}","{""pH"": ""number (0-14)"", ""pOH"": ""number"", ""acidity"": ""string""}"
ohms_law,science/electronics,"Applies Ohm's law V=IR to solve for voltage, current, or resistance","{""V"": ""optional number (volts)"", ""I"": ""optional number (amps)"", ""R"": ""optional number (ohms)"", ""solve_for"": ""string""}","{""result"": ""number"", ""power"": ""number (watts)""}"
bubble_sort,coding/algorithms,Sorts an array using bubble sort algorithm,"{""array"": ""array of comparable items"", ""ascending"": ""boolean (default true)""}","{""sorted"": ""array"", ""comparisons"": ""integer"", ""swaps"": ""integer""}"
quick_sort,coding/algorithms,Sorts an array using quick sort algorithm,"{""array"": ""array of comparable items"", ""low"": ""integer"", ""high"": ""integer""}","{""sorted"": ""array"", ""complexity"": ""string""}"
binary_search,coding/algorithms,Searches for element in sorted array using binary search,"{""array"": ""sorted array"", ""target"": ""any comparable type""}","{""index"": ""integer (-1 if not found)"", ""iterations"": ""integer""}"
dijkstra_algorithm,coding/algorithms,Finds shortest path in weighted graph using Dijkstra's algorithm,"{""graph"": ""adjacency matrix or list"", ""start"": ""node"", ""end"": ""node""}","{""path"": ""array of nodes"", ""distance"": ""number"", ""visited"": ""array""}"
array_push,coding/data_structures,Adds element to end of array,"{""array"": ""array"", ""element"": ""any type""}","{""array"": ""modified array"", ""length"": ""integer""}"
binary_tree_insert,coding/data_structures,Inserts node into binary tree,"{""tree"": ""tree object"", ""value"": ""comparable type""}","{""tree"": ""modified tree"", ""inserted"": ""boolean""}"
hash_table_get,coding/data_structures,Retrieves value from hash table by key,"{""table"": ""hash table"", ""key"": ""string or number""}","{""value"": ""any type or null"", ""found"": ""boolean""}"
parse_json,coding/parsing,Parses JSON string into object,"{""json"": ""string"", ""reviver"": ""optional function""}","{""data"": ""object"", ""error"": ""null or error object""}"
validate_email,coding/validation,Validates email address format,"{""email"": ""string""}","{""valid"": ""boolean"", ""message"": ""string""}"
parse_date,general_purpose/date_time,Parses date string into date object,"{""dateString"": ""string"", ""format"": ""string (optional)""}","{""date"": ""Date object"", ""valid"": ""boolean"", ""timestamp"": ""number""}"
format_date,general_purpose/date_time,Formats date object into string,"{""date"": ""Date object"", ""format"": ""string (YYYY-MM-DD, etc.)""}","{""formatted"": ""string""}"
add_days,general_purpose/date_time,Adds specified number of days to a date,"{""date"": ""Date object"", ""days"": ""integer""}","{""newDate"": ""Date object"", ""difference"": ""integer""}"
convert_timezone,general_purpose/date_time,Converts date/time between timezones,"{""date"": ""Date object"", ""fromZone"": ""string"", ""toZone"": ""string""}","{""convertedDate"": ""Date object"", ""offset"": ""number""}"
trim,general_purpose/string_utilities,Removes whitespace from both ends of string,"{""str"": ""string""}","{""trimmed"": ""string"", ""removed"": ""integer""}"
camel_case,general_purpose/string_utilities,Converts string to camelCase format,"{""str"": ""string""}","{""camelCase"": ""string""}"
truncate,general_purpose/string_utilities,Truncates string to specified length,"{""str"": ""string"", ""length"": ""integer"", ""ellipsis"": ""boolean (default true)""}","{""truncated"": ""string"", ""wasTruncated"": ""boolean""}"
validate_email,general_purpose/validation,Validates email address format,"{""email"": ""string""}","{""valid"": ""boolean"", ""message"": ""string"", ""parts"": ""object {local, domain}""}"
format_currency,general_purpose/formatting,Formats number as currency,"{""amount"": ""number"", ""currency"": ""string (USD, EUR, etc.)"", ""locale"": ""string""}","{""formatted"": ""string"", ""symbol"": ""string""}"
convert_units,general_purpose/conversion,Converts between different units of measurement,"{""value"": ""number"", ""fromUnit"": ""string"", ""toUnit"": ""string""}","{""converted"": ""number"", ""factor"": ""number""}"
generate_uuid,general_purpose/random_generation,Generates a UUID (Universally Unique Identifier),"{""version"": ""integer (1, 4, or 5)"", ""namespace"": ""optional string""}","{""uuid"": ""string"", ""version"": ""integer""}"
hash_md5,general_purpose/hashing,Generates MD5 hash of input,"{""data"": ""string or buffer"", ""encoding"": ""string (hex, base64)""}","{""hash"": ""string"", ""length"": ""integer""}"
calculate_interest,general_purpose/financial,Calculates compound interest,"{""principal"": ""number"", ""rate"": ""number (percentage)"", ""time"": ""number (years)"", ""frequency"": ""integer""}","{""finalAmount"": ""number"", ""interest"": ""number"", ""breakdown"": ""array""}"
distance_between_coordinates,general_purpose/geographic,Calculates distance between two geographic coordinates,"{""lat1"": ""number"", ""lon1"": ""number"", ""lat2"": ""number"", ""lon2"": ""number"", ""unit"": ""string (km, miles)""}","{""distance"": ""number"", ""bearing"": ""number""}"
